account_id,true_segment,bad_flag,declared_monthly_income,has_loan,loan_installment,essential_ratio_base,discretionary_ratio_base,initial_balance
AC100000,good_quiet,0,281.18,True,57.46,0.477,0.246,414.38
AC100001,bad_shock,1,594.84,False,0.0,0.359,0.205,778.82
AC100002,good_false_alarm,0,819.67,False,0.0,0.422,0.265,1457.4
AC100003,good_quiet,0,583.76,True,154.71,0.401,0.225,757.21
AC100004,good_quiet,0,476.23,True,129.41,0.445,0.177,480.17
AC100005,bad_shock,1,841.99,True,229.65,0.417,0.196,1176.86
AC100006,good_quiet,0,634.72,True,158.87,0.445,0.297,907.99
AC100007,good_quiet,0,1006.02,False,0.0,0.485,0.258,1956.52
AC100008,good_quiet,0,586.49,False,0.0,0.367,0.26,680.4
AC100009,good_quiet,0,484.86,True,134.3,0.498,0.193,776.08
AC100010,bad_detectable,1,364.62,True,93.98,0.423,0.298,436.62
AC100011,good_quiet,0,778.5,False,0.0,0.363,0.233,1325.85
AC100012,good_quiet,0,785.54,False,0.0,0.356,0.206,450.15
AC100013,bad_detectable,1,452.58,True,113.75,0.466,0.28,728.27
AC100014,good_quiet,0,707.37,True,171.32,0.479,0.151,899.73
AC100015,good_quiet,0,523.27,True,115.19,0.484,0.251,448.17
AC100016,good_quiet,0,279.36,True,74.12,0.395,0.239,306.01
AC100017,good_quiet,0,588.04,False,0.0,0.378,0.163,595.62
AC100018,bad_detectable,1,385.26,False,0.0,0.5,0.194,428.38
AC100019,good_quiet,0,806.18,False,0.0,0.455,0.239,877.57
AC100020,good_quiet,0,566.97,True,109.67,0.405,0.16,455.26
AC100021,good_quiet,0,726.88,True,176.96,0.401,0.213,1409.29
AC100022,good_quiet,0,646.02,True,134.66,0.485,0.185,638.27
AC100023,bad_detectable,1,769.47,True,195.62,0.439,0.248,730.28
AC100024,good_quiet,0,870.88,True,232.9,0.392,0.234,1470.01
AC100025,good_quiet,0,613.11,True,139.56,0.499,0.251,1055.75
AC100026,good_quiet,0,545.49,False,0.0,0.378,0.234,356.12
AC100027,bad_detectable,1,553.56,False,0.0,0.427,0.215,306.54
AC100028,good_quiet,0,486.69,True,99.58,0.36,0.218,620.11
AC100029,good_quiet,0,959.59,True,183.44,0.408,0.159,1484.77
AC100030,good_quiet,0,472.61,True,103.7,0.412,0.15,315.75
AC100031,good_quiet,0,452.46,True,104.43,0.423,0.2,518.97
AC100032,good_quiet,0,574.87,False,0.0,0.389,0.198,496.53
AC100033,good_quiet,0,384.96,True,78.08,0.4,0.29,220.53
AC100034,bad_detectable,1,439.28,False,0.0,0.373,0.157,310.71
AC100035,good_quiet,0,686.99,True,125.81,0.367,0.243,592.5
AC100036,good_quiet,0,985.03,True,260.98,0.351,0.278,1407.3
AC100037,bad_detectable,1,778.74,False,0.0,0.478,0.188,1462.62
AC100038,bad_detectable,1,1331.47,False,0.0,0.404,0.272,1301.64
AC100039,good_quiet,0,758.89,True,168.02,0.398,0.162,413.41
AC100040,bad_detectable,1,348.18,True,68.43,0.459,0.256,559.82
AC100041,bad_detectable,1,710.73,True,136.89,0.372,0.254,539.74
AC100042,good_quiet,0,412.01,True,74.84,0.499,0.238,284.44
AC100043,bad_shock,1,709.14,False,0.0,0.43,0.243,645.16
AC100044,bad_shock,1,500.62,True,104.87,0.45,0.275,263.94
AC100045,good_quiet,0,921.01,True,246.27,0.388,0.242,1225.23
AC100046,bad_detectable,1,733.32,True,185.22,0.435,0.264,1448.4
AC100047,good_quiet,0,701.35,True,182.07,0.428,0.211,449.64
AC100048,bad_detectable,1,724.86,True,179.95,0.372,0.294,556.45
AC100049,good_quiet,0,432.79,True,109.65,0.482,0.207,552.03
AC100050,good_quiet,0,994.2,False,0.0,0.467,0.235,653.11
AC100051,good_quiet,0,569.09,False,0.0,0.47,0.165,459.03
AC100052,good_quiet,0,1236.52,True,343.66,0.407,0.258,2264.51
AC100053,bad_shock,1,680.51,True,163.92,0.437,0.211,954.53
AC100054,bad_detectable,1,572.68,True,114.35,0.407,0.209,398.97
AC100055,good_false_alarm,0,754.24,True,207.79,0.387,0.165,1229.6
AC100056,good_quiet,0,509.92,True,101.26,0.428,0.22,453.4
AC100057,good_quiet,0,716.64,True,197.75,0.448,0.224,477.31
AC100058,good_quiet,0,647.2,True,165.99,0.482,0.285,1279.43
AC100059,bad_detectable,1,440.58,False,0.0,0.361,0.171,421.5
AC100060,good_quiet,0,270.8,False,0.0,0.443,0.231,202.55
AC100061,good_quiet,0,658.84,True,174.72,0.438,0.26,621.97
AC100062,good_quiet,0,379.74,True,97.22,0.466,0.181,726.19
AC100063,good_false_alarm,0,1336.86,False,0.0,0.365,0.19,2365.86
AC100064,good_quiet,0,746.9,True,152.76,0.457,0.278,1353.28
AC100065,good_quiet,0,464.03,True,95.05,0.387,0.174,886.31
AC100066,good_quiet,0,677.7,False,0.0,0.428,0.224,877.36
AC100067,good_quiet,0,751.3,True,145.13,0.369,0.293,918.87
AC100068,good_quiet,0,1156.97,True,272.4,0.381,0.188,630.64
AC100069,good_quiet,0,880.12,False,0.0,0.398,0.241,1053.97
AC100070,good_quiet,0,719.28,True,142.94,0.498,0.273,1159.78
AC100071,good_quiet,0,355.58,True,96.74,0.401,0.158,360.42
AC100072,good_quiet,0,548.71,True,139.97,0.469,0.182,1034.68
AC100073,good_quiet,0,457.67,True,82.49,0.499,0.192,271.44
AC100074,good_quiet,0,898.29,True,175.38,0.445,0.209,1691.29
AC100075,bad_detectable,1,458.09,False,0.0,0.419,0.249,641.12
AC100076,good_quiet,0,764.45,True,151.15,0.452,0.277,428.38
AC100077,bad_detectable,1,397.61,False,0.0,0.462,0.299,515.75
AC100078,good_quiet,0,881.54,False,0.0,0.405,0.261,973.84
AC100079,bad_shock,1,735.41,False,0.0,0.426,0.286,830.24
AC100080,good_quiet,0,636.65,True,140.58,0.416,0.169,405.92
AC100081,bad_detectable,1,821.8,True,202.4,0.353,0.199,654.74
AC100082,good_quiet,0,364.19,True,89.88,0.369,0.191,257.84
AC100083,good_quiet,0,807.44,True,218.84,0.38,0.231,1253.22
AC100084,good_quiet,0,572.16,True,117.59,0.444,0.198,1123.83
AC100085,good_quiet,0,697.81,True,127.23,0.41,0.281,987.64
AC100086,good_quiet,0,534.72,False,0.0,0.478,0.198,704.14
AC100087,good_quiet,0,830.04,True,177.14,0.387,0.287,1565.29
AC100088,good_quiet,0,465.22,False,0.0,0.462,0.265,764.76
AC100089,good_quiet,0,1529.61,True,312.07,0.447,0.193,1356.32
AC100090,bad_detectable,1,759.47,True,153.33,0.472,0.279,570.78
AC100091,bad_shock,1,446.65,False,0.0,0.476,0.171,742.12
AC100092,good_quiet,0,440.04,True,123.15,0.379,0.173,499.09
AC100093,good_quiet,0,1737.49,False,0.0,0.497,0.16,1228.4
AC100094,good_quiet,0,756.26,True,203.04,0.45,0.167,1322.54
AC100095,good_quiet,0,816.97,True,192.17,0.425,0.253,1208.33
AC100096,good_quiet,0,516.64,False,0.0,0.427,0.164,822.38
AC100097,bad_detectable,1,913.93,True,206.66,0.414,0.158,1378.57
AC100098,good_quiet,0,830.66,False,0.0,0.473,0.212,815.98
AC100099,bad_shock,1,1093.96,False,0.0,0.424,0.284,783.13
AC100100,good_quiet,0,668.22,True,130.54,0.43,0.16,387.04
AC100101,good_quiet,0,650.71,True,167.53,0.355,0.248,1128.78
AC100102,good_quiet,0,627.98,True,167.09,0.473,0.231,1085.66
AC100103,good_quiet,0,1054.23,True,267.54,0.389,0.263,1324.4
AC100104,good_quiet,0,650.86,True,141.1,0.383,0.181,1059.11
AC100105,good_quiet,0,827.58,True,163.55,0.376,0.273,908.49
