account_id,date,category,amount,status,balance_after
AC100000,2025-10-03,SALARY_CREDIT,281.18,SUCCESS,695.56
AC100000,2025-10-04,DISCRETIONARY_SPEND,58.54,SUCCESS,637.02
AC100000,2025-10-05,EMI_DEBIT,57.46,SUCCESS,579.56
AC100000,2025-10-07,CASH_WITHDRAWAL,74.79,SUCCESS,504.77
AC100000,2025-10-10,ESSENTIAL_SPEND,1.29,SUCCESS,503.48
AC100000,2025-10-12,ESSENTIAL_SPEND,8.57,SUCCESS,494.91
AC100000,2025-10-13,CASH_WITHDRAWAL,59.47,SUCCESS,435.44
AC100000,2025-10-19,ESSENTIAL_SPEND,19.29,SUCCESS,416.15
AC100000,2025-10-21,DISCRETIONARY_SPEND,10.63,SUCCESS,405.52
AC100000,2025-10-22,ESSENTIAL_SPEND,60.32,SUCCESS,345.2
AC100000,2025-10-27,ESSENTIAL_SPEND,44.65,SUCCESS,300.55
AC100000,2025-11-01,ESSENTIAL_SPEND,36.78,SUCCESS,263.77
AC100000,2025-11-03,ESSENTIAL_SPEND,8.66,SUCCESS,255.11
AC100000,2025-11-04,SALARY_CREDIT,281.18,SUCCESS,536.29
AC100000,2025-11-05,EMI_DEBIT,57.46,SUCCESS,478.83
AC100000,2025-11-13,ESSENTIAL_SPEND,59.65,SUCCESS,419.18
AC100000,2025-11-13,DISCRETIONARY_SPEND,51.91,SUCCESS,367.27
AC100000,2025-11-13,CASH_WITHDRAWAL,67.04,SUCCESS,300.23
AC100000,2025-11-20,ESSENTIAL_SPEND,18.13,SUCCESS,282.1
AC100000,2025-11-26,ESSENTIAL_SPEND,10.91,SUCCESS,271.19
AC100000,2025-11-29,DISCRETIONARY_SPEND,17.26,SUCCESS,253.93
AC100000,2025-12-01,SALARY_CREDIT,281.18,SUCCESS,535.11
AC100000,2025-12-05,EMI_DEBIT,57.46,SUCCESS,477.65
AC100000,2025-12-05,ESSENTIAL_SPEND,33.82,SUCCESS,443.83
AC100000,2025-12-06,ESSENTIAL_SPEND,55.76,SUCCESS,388.07
AC100000,2025-12-06,DISCRETIONARY_SPEND,19.11,SUCCESS,368.96
AC100000,2025-12-07,ESSENTIAL_SPEND,22.68,SUCCESS,346.28
AC100000,2025-12-08,CASH_WITHDRAWAL,66.75,SUCCESS,279.53
AC100000,2025-12-23,ESSENTIAL_SPEND,17.64,SUCCESS,261.89
AC100000,2025-12-23,ESSENTIAL_SPEND,4.22,SUCCESS,257.67
AC100000,2025-12-26,DISCRETIONARY_SPEND,12.95,SUCCESS,244.72
AC100000,2025-12-30,DISCRETIONARY_SPEND,37.1,SUCCESS,207.62
AC100000,2026-01-01,ESSENTIAL_SPEND,8.89,SUCCESS,198.73
AC100000,2026-01-03,DISCRETIONARY_SPEND,4.64,SUCCESS,194.09
AC100000,2026-01-04,SALARY_CREDIT,281.18,SUCCESS,475.27
AC100000,2026-01-04,ESSENTIAL_SPEND,89.58,SUCCESS,385.69
AC100000,2026-01-05,EMI_DEBIT,57.46,SUCCESS,328.23
AC100000,2026-01-12,DISCRETIONARY_SPEND,33.72,SUCCESS,294.51
AC100000,2026-01-15,ESSENTIAL_SPEND,30.79,SUCCESS,263.72
AC100000,2026-01-15,ESSENTIAL_SPEND,4.86,SUCCESS,258.86
